post_id,coder_id,type,n_pictures,pop_elite,pop_people,pop_othering
1,1,photo,1,0,0,0
1,2,photo,1,0,0,0
1,3,photo,1,0,0,0
1,4,photo,1,0,0,0
1,5,photo,1,0,0,0
1,6,photo,1,0,0,0
2,1,photo,1,0,0,0
2,2,photo,1,0,0,0
2,3,photo,1,0,0,0
2,4,photo,1,0,0,0
2,5,photo,1,0,0,0
2,6,photo,1,0,0,0
3,1,video,0,0,0,0
3,2,video,0,0,0,0
3,3,video,0,0,1,0
3,4,video,0,0,0,0
3,5,video,0,0,0,0
3,6,video,0,0,0,0
4,1,photo,2,0,0,0
4,2,photo,2,0,0,0
4,3,photo,2,0,0,0
4,4,photo,2,0,0,0
4,5,photo,2,0,0,0
4,6,photo,2,0,0,0
5,1,link,1,0,0,0
5,2,link,0,0,0,0
5,3,link,1,0,0,0
5,4,link,1,0,0,0
5,5,link,1,0,0,0
5,6,link,1,0,0,0
6,1,photo,1,0,1,0
6,2,photo,1,0,0,0
6,3,photo,1,0,0,0
6,4,photo,1,0,0,0
6,5,photo,1,0,0,0
6,6,photo,1,0,1,0
7,1,photo,1,0,0,0
7,2,photo,1,0,0,0
7,3,photo,1,0,0,0
7,4,photo,1,0,0,0
7,5,photo,1,0,0,0
7,6,photo,1,0,0,0
8,1,photo,1,0,0,0
8,2,photo,1,0,0,0
8,3,photo,1,0,0,0
8,4,photo,1,0,0,0
8,5,photo,1,0,0,0
8,6,photo,1,0,0,0
9,1,photo,1,0,0,0
9,2,photo,1,0,0,0
9,3,photo,1,0,0,0
9,4,photo,1,0,0,0
9,5,photo,1,0,0,0
9,6,photo,1,0,0,0
10,1,photo,1,0,0,0
10,2,photo,2,0,0,0
10,3,photo,1,0,1,0
10,4,photo,1,0,0,0
10,5,photo,1,0,0,0
10,6,photo,1,0,0,0
11,1,photo,1,0,0,0
11,2,photo,1,0,0,0
11,3,photo,1,0,0,0
11,4,photo,1,0,0,0
11,5,photo,1,0,0,0
11,6,photo,1,0,0,0
12,1,status,0,0,0,0
12,2,status,0,0,0,0
12,3,status,0,0,0,0
12,4,status,0,0,0,0
12,5,status,0,0,0,0
12,6,status,0,0,0,0
13,1,photo,1,0,0,0
13,2,photo,1,0,0,0
13,3,photo,1,0,0,3
