"","CASE","SERIAL","REF","QUESTNNR","MODE","STARTED","QE01_01","QE01_02","QE01_03","QE01_04","QE01_05","QE01_06","QE01_07","SD01","SD02_01","SD03","SD03_09","TC01_01","TC01_02","TC02_01","TC02_02","KV01_01","KV01_02","KV01_03","KV01_04","KV01_05","KV01_06","KV01_07","KV02_01","KV02_02","KV02_03","KV02_04","KV03_01","KV03_02","KV03_03","KV03_04","GR01_CP","GR01","GR02_01","GR02_02","GR02_03","TIME001","TIME002","TIME003","TIME004","TIME005","TIME006","TIME007","TIME008","TIME009","TIME010","TIME_SUM","MAILSENT","LASTDATA","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","MISSING","MISSREL","TIME_RSI","DEG_TIME"
"1",119,"LFKEYS",NA,"base","interview","2018-10-08 08:32:06",7,5,6,7,5,6,5,1,41,8,"",3,4,5,5,6,7,7,7,6,6,7,5,2,4,3,6,6,6,5,0,3,1,-1,1,2,28,13,14,13,29,26,36,13,15,189,NA,"2018-10-08 08:35:15",1,0,10,10,0,0,1.9,87
"2",120,"UBIBF6",NA,"base","interview","2018-10-08 08:33:31",7,6,6,7,6,7,7,2,56,8,"",5,NA,NA,NA,7,7,7,7,3,7,6,3,2,2,3,6,5,6,4,0,10,2,0,0,24,46,40,NA,117,44,8,50,37,12,378,NA,"2018-10-08 08:39:49",1,0,10,10,0,0,1.13,18
"3",121,"LGQ48S",NA,"base","interview","2018-10-08 08:33:55",6,4,5,6,3,7,7,2,27,7,"",5,5,5,1,6,5,2,4,5,4,5,6,6,6,6,NA,NA,NA,NA,0,2,1,1,-1,3,29,34,40,155,63,31,62,25,3,445,NA,"2018-10-08 08:41:20",1,0,10,10,0,0,1.33,38
"4",123,"3GNKLQ",NA,"base","interview","2018-10-08 08:34:16",7,7,6,7,4,6,6,1,26,7,"",4,4,5,1,4,3,5,2,5,1,5,5,4,4,4,6,6,6,4,0,7,2,1,-1,8,24,11,24,46,41,19,33,10,10,226,NA,"2018-10-08 08:38:02",1,0,10,10,0,0,1.78,39
"5",124,"MNQRR4",NA,"base","interview","2018-10-08 08:34:28",7,1,5,5,5,6,7,2,46,8,"",5,5,3,1,7,7,7,5,6,4,4,1,3,1,1,NA,NA,NA,NA,0,4,1,-1,-1,113,42,43,33,103,44,35,37,11,18,377,NA,"2018-10-08 08:42:27",1,0,10,10,0,0,1,8
"6",125,"14C7QR",NA,"base","interview","2018-10-08 08:34:53",7,7,5,7,7,7,7,2,34,8,"",5,5,5,5,7,4,6,6,5,6,7,3,4,3,4,NA,NA,NA,NA,0,8,2,-1,1,15,59,29,26,170,55,28,53,10,14,459,NA,"2018-10-08 08:42:32",1,0,10,10,0,0,1.05,7
"7",127,"S1QK9O",NA,"base","interview","2018-10-08 08:35:37",5,3,1,6,6,4,4,1,30,8,"",3,NA,NA,NA,7,5,6,7,7,6,7,1,2,2,1,NA,NA,NA,NA,0,10,2,0,0,16,109,60,NA,192,46,14,83,25,6,551,NA,"2018-10-08 08:44:48",1,0,10,10,0,0,1.05,16
"8",128,"30KTGZ",NA,"base","interview","2018-10-08 08:35:41",7,5,5,7,5,6,4,1,48,8,"",4,1,3,3,6,6,6,6,6,3,6,3,3,3,3,NA,NA,NA,NA,0,9,2,-1,-1,1,25,14,20,85,29,27,39,13,3,256,NA,"2018-10-08 08:39:57",1,0,10,10,0,0,1.85,94
"9",130,"X0WT6U",NA,"base","interview","2018-10-08 08:35:59",2,4,2,3,1,3,3,1,51,8,"",4,5,4,2,6,6,6,6,6,5,6,2,2,2,2,NA,NA,NA,NA,0,9,2,-1,-1,38,12,38,20,92,19,31,19,14,22,305,NA,"2018-10-08 08:41:04",1,0,10,10,0,0,1.53,36
"10",132,"03BL3O",NA,"base","interview","2018-10-08 08:36:14",6,3,6,7,6,7,7,2,30,8,"",4,5,5,5,6,2,2,1,3,2,5,2,3,5,4,5,6,6,6,0,8,2,-1,1,6,55,39,16,91,46,27,47,2598,34,381,NA,"2018-10-08 09:25:33",1,0,10,10,0,0,1.04,12
